Sid,Genre
0,Crime
0,Drama
0,Thriller
1,Action
1,Adventure
1,Drama
2,Action
2,Adventure
2,Fantasy
3,Comedy
3,Romance
4,Crime
4,Drama
5,Comedy
5,Drama
5,Family
6,Comedy
7,Drama
8,Adventure
8,Drama
8,Fantasy
9,Drama
9,Mystery
9,Sci-Fi
10,Drama
10,Fantasy
10,Horror
11,Crime
11,Drama
11,Mystery
12,Drama
12,History
12,Thriller
13,Crime
13,Drama
14,Biography
14,Crime
14,Drama
15,Animation
15,Comedy
16,Comedy
17,Animation
17,Comedy
18,Crime
18,Drama
18,Thriller
19,Action
19,Drama
19,Romance
20,Animation
20,Adventure
20,Comedy
21,Crime
21,Drama
21,Mystery
22,Drama
22,History
22,War
23,Action
23,Adventure
23,Drama
24,Action
24,Comedy
24,Crime
25,Comedy
25,Drama
25,Fantasy
26,Action
26,Crime
26,Drama
27,Comedy
27,Romance
28,Animation
28,Action
28,Adventure
29,Action
29,Drama
29,Sci-Fi
30,Biography
30,Crime
30,Drama
31,Crime
31,Drama
31,Mystery
32,Drama
32,Horror
32,Thriller
33,Comedy
33,Drama
33,Sport
34,Drama
34,Sci-Fi
34,Thriller
35,Crime
35,Drama
35,Mystery
36,Comedy
36,Crime
37,Animation
37,Comedy
38,Action
38,Adventure
38,Comedy
39,Crime
39,Drama
39,Thriller
40,Crime
40,Drama
41,Action
41,Adventure
41,Sci-Fi
42,Animation
42,Adventure
42,Comedy
43,Action
43,Crime
43,Drama
44,Action
44,Crime
44,Drama
45,Drama
45,Mystery
46,Drama
46,Romance
47,Comedy
47,Romance
48,Animation
48,Comedy
49,Crime
49,Drama
49,Thriller
50,Action
50,Drama
50,Sci-Fi
51,Action
51,Drama
51,Fantasy
52,Animation
52,Comedy
52,Music
53,Crime
53,Drama
53,Thriller
54,Comedy
55,Comedy
56,Adventure
56,Drama
56,Family
57,Action
57,Adventure
57,Drama
58,Crime
58,Drama
58,Mystery
59,Drama
59,Mystery
59,Sci-Fi
60,Animation
60,Comedy
61,Crime
61,Drama
61,History
62,Comedy
62,Drama
62,Romance
63,Drama
64,Animation
64,Adventure
64,Comedy
65,Drama
65,Horror
65,Sci-Fi
66,Action
66,Adventure
66,Crime
67,Crime
67,Drama
67,Fantasy
68,Drama
68,Fantasy
68,Sci-Fi
69,Crime
69,Drama
69,Horror
70,Animation
70,Adventure
70,Comedy
71,Comedy
71,Drama
72,Drama
72,Fantasy
72,Horror
73,Action
73,Adventure
73,Drama
74,Action
74,Adventure
74,Biography
75,Drama
75,Fantasy
75,Horror
76,Comedy
76,Romance
77,Drama
77,Fantasy
77,Horror
78,Drama
78,Romance
79,Action
79,Crime
79,Drama
80,Action
80,Drama
80,Sci-Fi
81,Action
81,Crime
81,Drama
82,Action
82,Adventure
82,Crime
83,Drama
83,Mystery
83,Thriller
84,Action
84,Crime
84,Drama
85,Action
85,Drama
85,Fantasy
86,Drama
86,Fantasy
86,Mystery
87,Animation
87,Comedy
87,Drama
88,Comedy
88,Drama
88,Romance
89,Drama
90,Comedy
91,Crime
91,Drama
91,Thriller
92,Action
92,Crime
92,Drama
93,Crime
93,Drama
93,Thriller
94,Animation
94,Comedy
94,Family
95,Action
95,Crime
95,Drama
96,Comedy
97,Action
97,Drama
97,Mystery
98,Comedy
98,Crime
98,Fantasy
99,Comedy
99,Crime
99,Drama
